trial,makespan,execution_time,initial_temp,cooling_rate,max_iterations,min_temp
0,1554,13.33107852935791,1000,0.99,500,5.0
1,1530,13.556021690368652,1000,0.99,500,5.0
2,1530,13.515753507614136,1000,0.99,500,5.0
0,1539,14.098180055618286,1000,0.99,700,0.1
1,1530,13.580750465393066,1000,0.99,700,0.1
2,1530,13.720044136047363,1000,0.99,700,0.1
0,1556,14.323564052581787,1000,0.99,700,1.0
1,1530,13.690215826034546,1000,0.99,700,1.0
2,1530,13.770391702651978,1000,0.99,700,1.0
0,1530,14.277992963790894,1000,0.99,700,5.0
1,1536,14.338136672973633,1000,0.99,700,5.0
2,1530,13.919412851333618,1000,0.99,700,5.0
0,1530,14.383763313293457,2000,0.9,100,0.1
1,1530,14.068292379379272,2000,0.9,100,0.1
2,1539,14.494319438934326,2000,0.9,100,0.1
0,1530,13.993798971176147,2000,0.9,100,1.0
1,1530,14.397220611572266,2000,0.9,100,1.0
2,1548,14.431623458862305,2000,0.9,100,1.0
0,1530,14.210529804229736,2000,0.9,100,5.0
1,1530,15.738927602767944,2000,0.9,100,5.0
2,1530,18.65446448326111,2000,0.9,100,5.0
0,1530,20.431024312973022,2000,0.9,300,0.1
1,1530,21.346799850463867,2000,0.9,300,0.1
2,1540,22.195250034332275,2000,0.9,300,0.1
0,1530,22.096030712127686,2000,0.9,300,1.0
1,1530,24.019617795944214,2000,0.9,300,1.0
2,1530,24.606353759765625,2000,0.9,300,1.0
0,1530,24.62443995475769,2000,0.9,300,5.0
1,1530,20.488365173339844,2000,0.9,300,5.0
2,1530,19.15715789794922,2000,0.9,300,5.0
0,1530,18.197617292404175,2000,0.9,500,0.1
1,1548,17.55609393119812,2000,0.9,500,0.1
2,1535,17.259800672531128,2000,0.9,500,0.1
0,1530,15.755509376525879,2000,0.9,500,1.0
1,1538,14.97719144821167,2000,0.9,500,1.0
2,1530,14.064869165420532,2000,0.9,500,1.0
0,1530,14.075307607650757,2000,0.9,500,5.0
1,1530,14.209388256072998,2000,0.9,500,5.0
2,1556,14.339781522750854,2000,0.9,500,5.0
0,1530,13.745006799697876,2000,0.9,700,0.1
1,1530,13.906160593032837,2000,0.9,700,0.1
2,1530,14.442327737808228,2000,0.9,700,0.1
0,1530,14.361304759979248,2000,0.9,700,1.0
1,1530,14.193219423294067,2000,0.9,700,1.0
2,1530,13.711378574371338,2000,0.9,700,1.0
0,1530,14.296671628952026,2000,0.9,700,5.0
1,1530,14.46519947052002,2000,0.9,700,5.0
2,1530,14.415160894393921,2000,0.9,700,5.0
0,1530,14.46404218673706,2000,0.95,100,0.1
1,1546,14.609771966934204,2000,0.95,100,0.1
2,1539,14.295169591903687,2000,0.95,100,0.1
0,1530,14.824760437011719,2000,0.95,100,1.0
1,1530,14.448368787765503,2000,0.95,100,1.0
2,1530,14.45336389541626,2000,0.95,100,1.0
0,1530,14.685506820678711,2000,0.95,100,5.0
1,1530,14.332659721374512,2000,0.95,100,5.0
2,1535,14.2239089012146,2000,0.95,100,5.0
0,1530,13.950864791870117,2000,0.95,300,0.1
1,1530,14.59713888168335,2000,0.95,300,0.1
2,1530,14.535667657852173,2000,0.95,300,0.1
0,1530,14.643824100494385,2000,0.95,300,1.0
1,1530,14.245242357254028,2000,0.95,300,1.0
2,1556,14.300508260726929,2000,0.95,300,1.0
0,1530,14.120105743408203,2000,0.95,300,5.0
1,1530,14.2317054271698,2000,0.95,300,5.0
2,1530,14.227027654647827,2000,0.95,300,5.0
0,1530,14.53533124923706,2000,0.95,500,0.1
1,1530,14.443037033081055,2000,0.95,500,0.1
2,1530,14.228996276855469,2000,0.95,500,0.1
0,1530,14.067301273345947,2000,0.95,500,1.0
1,1530,14.056405544281006,2000,0.95,500,1.0
2,1530,13.911229610443115,2000,0.95,500,1.0
0,1530,14.335411310195923,2000,0.95,500,5.0
1,1556,14.250887870788574,2000,0.95,500,5.0
2,1545,14.215616226196289,2000,0.95,500,5.0
0,1530,14.479774713516235,2000,0.95,700,0.1
1,1530,14.420135498046875,2000,0.95,700,0.1
2,1530,14.316094398498535,2000,0.95,700,0.1
0,1530,14.364600896835327,2000,0.95,700,1.0
1,1530,14.490330696105957,2000,0.95,700,1.0
2,1530,15.011054754257202,2000,0.95,700,1.0
0,1530,14.405946731567383,2000,0.95,700,5.0
1,1530,14.877430200576782,2000,0.95,700,5.0
2,1530,14.637768745422363,2000,0.95,700,5.0
0,1530,14.442269563674927,2000,0.97,100,0.1
1,1530,15.002971649169922,2000,0.97,100,0.1
2,1556,14.676404237747192,2000,0.97,100,0.1
0,1530,14.88841962814331,2000,0.97,100,1.0
1,1530,14.833727836608887,2000,0.97,100,1.0
2,1532,14.70301342010498,2000,0.97,100,1.0
0,1530,14.791483879089355,2000,0.97,100,5.0
1,1542,14.953185796737671,2000,0.97,100,5.0
2,1530,14.46635890007019,2000,0.97,100,5.0
0,1530,14.538480281829834,2000,0.97,300,0.1
1,1530,14.33936095237732,2000,0.97,300,0.1
2,1556,14.58134388923645,2000,0.97,300,0.1
0,1541,14.397070407867432,2000,0.97,300,1.0
1,1543,14.33051323890686,2000,0.97,300,1.0
2,1548,14.55912971496582,2000,0.97,300,1.0
0,1530,14.482673645019531,2000,0.97,300,5.0
1,1530,14.541104793548584,2000,0.97,300,5.0
2,1530,14.528979301452637,2000,0.97,300,5.0
0,1530,14.739353895187378,2000,0.97,500,0.1
1,1530,14.44957184791565,2000,0.97,500,0.1
2,1530,14.503656148910522,2000,0.97,500,0.1
0,1540,14.629347562789917,2000,0.97,500,1.0
1,1536,14.389843702316284,2000,0.97,500,1.0
2,1556,14.798227548599243,2000,0.97,500,1.0
0,1539,14.37150764465332,2000,0.97,500,5.0
1,1530,14.431056261062622,2000,0.97,500,5.0
2,1550,14.830240488052368,2000,0.97,500,5.0
0,1556,14.297314405441284,2000,0.97,700,0.1
1,1530,14.953336238861084,2000,0.97,700,0.1
2,1530,14.869417190551758,2000,0.97,700,0.1
